event_id,event_date,latitude,longitude,state,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_15d,rainfall_30d,soil_moisture,soil_moisture_anomaly,elevation,slope,aspect,curvature,landslide,sample_type
APDA-NEG-01239,2016-07-10,27.0,95.0,Nagaland,13.49,23.82,53.95,142.25,333.32,0.88,2.5333,117.36,3.0,28.88,0.00233,0,negative
14283,2018-10-29,25.769,93.82,Nagaland,0.0,0.92,0.92,2.71,43.75,0.78,0.5204,269.6,4.01,302.74,-0.001121,1,positive
APDA-NEG-00080,2016-07-16,28.0,95.0,Arunachal Pradesh,27.02,91.06,144.17,243.28,543.3,0.94,2.9333,784.15,2.6,262.83,-0.001803,0,negative
APDA-NEG-00340,2017-06-29,33.0,77.5,Himachal Pradesh,5.57,18.71,19.01,37.93,50.45,0.68,1.2,5155.49,22.24,314.26,0.012153,0,negative
APDA-NEG-00980,2015-09-05,25.5,90.625,Meghalaya,14.1,61.6,183.37,262.23,472.65,0.98,3.2,263.81,5.53,161.64,-0.002985,0,negative
APDA-NEG-01261,2017-06-25,26.5,94.375,Nagaland,36.5,84.88,104.75,197.31,335.38,0.9,2.6667,307.93,20.68,270.76,-0.012984,0,negative
8339,2015-09-23,26.167,91.704,Assam,61.13,106.92,116.73,187.06,431.33,0.97,1.8795,231.39,9.26,326.01,-0.005507,1,positive
APDA-NEG-01652,2014-07-24,29.5,78.75,Uttarakhand,3.98,20.01,81.33,171.14,227.94,0.55,0.3333,285.78,7.49,11.54,0.004111,0,negative
APDA-NEG-01617,2013-06-17,30.5,80.0,Uttarakhand,25.24,92.46,126.04,142.72,147.63,0.8,2.0,5403.64,16.29,342.16,0.008133,0,negative
APDA-NEG-01428,2013-07-26,31.0,79.375,Uttarakhand,0.48,10.42,39.16,86.69,158.05,0.84,2.2667,5085.99,17.29,81.7,0.00088,0,negative
7372,2015-08-01,25.063,94.342,Manipur,4.9,104.34,121.77,229.36,353.87,0.89,1.428,1803.95,30.18,276.82,-0.008766,1,positive
APDA-NEG-01695,2013-08-17,30.5,77.5,Uttarakhand,30.14,66.48,134.33,338.49,545.72,0.97,3.1333,425.48,0.38,300.89,0.001817,0,negative
APDA-NEG-00731,2018-09-25,30.5,76.875,Himachal Pradesh,34.0,122.86,170.63,203.31,345.25,0.92,2.8,298.08,0.59,195.1,0.000987,0,negative
APDA-NEG-00038,2008-10-29,28.0,95.0,Arunachal Pradesh,0.03,37.69,46.07,48.17,128.65,0.83,2.2,784.15,2.6,262.83,-0.001803,0,negative
APDA-NEG-01255,2017-05-16,27.0,94.375,Nagaland,5.36,23.82,45.36,88.56,256.79,0.74,1.6,86.0,0.0,0.0,0.0,0,negative
