event_id,event_date,latitude,longitude,state,source_catalog,source_dataset,sample_type,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_15d,rainfall_30d,soil_moisture,soil_moisture_anomaly,elevation,slope,aspect,curvature,landslide
APDA-NEG-00096,2012-07-05,28.0,95.0,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,28.37,126.86,211.85,417.6,666.54,0.96,3.0667,784.15,2.6,262.83,-0.001803,0
APDA-NEG-00097,2017-04-22,28.0,95.0,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,1.01,12.84,16.67,55.01,177.12,0.71,1.4,784.15,2.6,262.83,-0.001803,0
APDA-NEG-00098,2013-09-02,28.5,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,19.77,48.41,106.19,140.02,369.19,0.92,2.8,2215.04,37.28,283.93,-0.000253,0
APDA-NEG-00099,2017-04-23,28.0,93.75,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,7.28,15.09,24.68,38.12,122.09,0.71,1.4,576.05,30.81,45.85,0.021021,0
APDA-NEG-00100,2014-06-27,28.0,95.0,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,29.86,44.21,87.07,273.43,360.63,0.88,2.5333,784.15,2.6,262.83,-0.001803,0
APDA-NEG-00101,2017-04-26,28.5,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,56.96,164.42,183.56,191.79,320.0,0.9,2.6667,2215.04,37.28,283.93,-0.000253,0
APDA-NEG-00102,2013-08-01,28.5,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,0.46,23.83,37.95,216.83,350.8,0.9,2.6667,2215.04,37.28,283.93,-0.000253,0
APDA-NEG-00103,2017-05-03,29.0,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,2.72,10.65,38.29,124.54,156.84,0.8,2.0,2967.53,32.82,99.99,-0.011499,0
APDA-NEG-00104,2016-07-19,29.0,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,8.26,43.91,80.89,112.08,306.43,0.92,2.8,2967.53,32.82,99.99,-0.011499,0
APDA-NEG-00105,2017-05-24,29.0,96.25,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,16.53,20.14,41.21,52.75,165.51,0.84,2.2667,4424.4,28.85,66.8,0.001741,0
APDA-NEG-00106,2010-05-31,27.0,94.375,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,8.87,27.4,53.29,121.78,260.22,0.8,2.0,86.0,0.0,0.0,0.0,0
APDA-NEG-00107,2017-06-04,28.0,93.75,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,2.98,80.9,144.18,241.21,367.9,0.88,2.5333,576.05,30.81,45.85,0.021021,0
APDA-NEG-00108,2016-07-16,28.0,93.75,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,29.29,106.19,178.86,287.37,507.23,0.95,3.0,576.05,30.81,45.85,0.021021,0
APDA-NEG-00109,2017-06-19,28.0,93.75,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,22.13,78.73,131.34,167.78,408.99,0.9,2.6667,576.05,30.81,45.85,0.021021,0
APDA-NEG-00110,2017-07-05,29.0,96.25,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,11.69,25.48,99.57,160.28,233.97,0.92,2.8,4424.4,28.85,66.8,0.001741,0
APDA-NEG-00111,2017-06-20,28.5,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,3.16,85.18,145.55,183.84,483.41,0.93,2.8667,2215.04,37.28,283.93,-0.000253,0
APDA-NEG-00112,2017-07-05,29.0,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,14.61,37.11,132.72,223.61,320.04,0.96,3.0667,2967.53,32.82,99.99,-0.011499,0
APDA-NEG-00113,2017-06-21,27.0,94.375,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,7.1,15.83,82.55,150.42,355.1,0.82,2.1333,86.0,0.0,0.0,0.0,0
APDA-NEG-00114,2013-06-01,27.0,94.375,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,6.29,16.78,42.81,90.25,233.12,0.69,1.2667,86.0,0.0,0.0,0.0,0
APDA-NEG-00115,2017-06-30,29.0,96.25,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,26.48,51.38,94.11,158.36,227.57,0.91,2.7333,4424.4,28.85,66.8,0.001741,0
APDA-NEG-00116,2009-08-12,27.0,94.375,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,77.86,125.29,167.69,294.61,471.89,0.95,3.0,86.0,0.0,0.0,0.0,0
APDA-NEG-00117,2017-07-01,29.0,96.25,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,18.16,59.67,102.93,171.07,240.69,0.92,2.8,4424.4,28.85,66.8,0.001741,0
APDA-NEG-00118,2010-10-03,28.5,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,2.35,13.64,31.43,119.95,426.52,0.9,2.6667,2215.04,37.28,283.93,-0.000253,0
APDA-NEG-00119,2017-07-01,29.0,96.25,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,18.16,59.67,102.93,171.07,240.69,0.92,2.8,4424.4,28.85,66.8,0.001741,0
APDA-NEG-00120,2017-04-26,28.0,95.0,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,56.56,156.15,178.78,185.79,327.19,0.89,2.6,784.15,2.6,262.83,-0.001803,0
APDA-NEG-00121,2017-07-01,29.0,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,16.83,75.94,130.86,233.39,311.03,0.95,3.0,2967.53,32.82,99.99,-0.011499,0
APDA-NEG-00122,2012-09-19,28.0,93.75,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,25.92,62.09,106.84,226.27,435.24,0.94,2.9333,576.05,30.81,45.85,0.021021,0
APDA-NEG-00123,2017-07-05,28.5,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,31.18,58.98,235.86,351.34,535.18,0.97,3.1333,2215.04,37.28,283.93,-0.000253,0
APDA-NEG-00124,2014-06-27,29.0,96.25,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,7.9,10.53,23.8,65.67,86.56,0.71,1.4,4424.4,28.85,66.8,0.001741,0
APDA-NEG-00125,2017-07-05,27.0,94.375,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,9.28,46.33,185.65,319.67,463.04,0.91,2.7333,86.0,0.0,0.0,0.0,0
